,name,company,year,price,kms_driven,fuel_type
16554,Toyota Corolla,Toyota ,2010,1350000,113000,Petrol
16555,Toyota Corolla,Toyota ,2013,1810000,91000,Petrol
16556,Daihatsu Mira,Daihatsu ,2015,1550000,35000,Petrol
16557,Suzuki Mehran,Suzuki ,2014,670000,58000,Petrol
16558,Suzuki Mehran,Suzuki ,2016,735000,20000,Petrol
16559,Suzuki Mehran,Suzuki ,2004,470000,64000,Petrol
16560,Suzuki Cultus,Suzuki ,2007,600000,120000,Petrol
16561,Daihatsu Cuore,Daihatsu ,2006,460000,120000,Petrol
16562,Toyota Corolla,Toyota ,2013,1825000,120000,Petrol
16563,Suzuki Cultus,Suzuki ,2003,470000,175000,Petrol
16564,Suzuki Mehran,Suzuki ,2014,650000,54000,Petrol
16565,Toyota Rav4,Toyota ,2003,2250000,138000,Petrol
16566,Suzuki Liana,Suzuki ,2010,900000,180000,Petrol
16567,Daihatsu Move,Daihatsu ,2008,975000,117500,Petrol
16568,Suzuki Swift,Suzuki ,2017,1825000,21700,Petrol
16569,Toyota Corolla,Toyota ,2016,2200000,53000,Petrol
16570,Suzuki Cultus,Suzuki ,2003,550000,70000,Petrol
16571,Daihatsu Cuore,Daihatsu ,2000,430000,150000,Petrol
16572,Suzuki Mehran,Suzuki ,2014,630000,75365,Petrol
16573,Daihatsu Mira,Daihatsu ,2015,1570000,35000,Petrol
16574,Suzuki Liana,Suzuki ,2006,690000,110000,Petrol
16575,Suzuki Cultus,Suzuki ,2007,650000,100000,Petrol
16576,Honda City,Honda ,2011,1450000,60500,Petrol
16577,Honda Vezel,Honda ,2016,4985000,41000,Hybrid
16578,Suzuki Wagon,Suzuki ,2018,830000,49100,Petrol
16579,Suzuki Mehran,Suzuki ,2008,480000,80000,Petrol
16580,Suzuki Mehran,Suzuki ,2015,740000,17,Petrol
16581,Toyota Corolla,Toyota ,2010,1350000,165000,Petrol
16582,Toyota Corolla,Toyota ,2018,2800000,30890,Petrol
16583,Suzuki Baleno,Suzuki ,2000,600000,117000,Petrol
16584,Suzuki Alto,Suzuki ,2012,650000,43759,Petrol
16585,Hyundai Santro,Hyundai ,2006,700000,150000,Petrol
16586,Toyota Vitz,Toyota ,2014,1900000,64000,Petrol
16587,Daihatsu Cuore,Daihatsu ,2008,725000,120000,Petrol
16588,Suzuki Wagon,Suzuki ,2019,1615000,24000,Petrol
